Speaker	Utterance	Emotion	Sentiment
Phoebe	Oh, totally. Oh, God, oh, she seemed so happy too.	sadness	negative

Phoebe	What?!	surprise	negative
Phoebe	He was with her when he wrote this poem.	neutral	neutral
Phoebe	Look,  'My vessel so empty with nothing inside.	neutral	neutral
Phoebe	Now that I've touched you, you seem emptier still.'	neutral	neutral
Phoebe	He thinks Monica is empty, she is the empty vase!	surprise	negative
Phoebe	Oh, totally. Oh, God, oh, she seemed so happy too.	sadness	negative
Joey	Done.	neutral	neutral

Rachel	Hey!	surprise	positive
Ross	Hi!	joy	positive
Rachel	What are you doing here?	surprise	positive
Ross	Ah y'know, this building is on my paper route so I...	neutral	neutral
Rachel	Oh.	neutral	neutral
Ross	Hi.	neutral	neutral
Rachel	Hi.	neutral	neutral
Ross	How’d did it go?	neutral	neutral
Rachel	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.	joy	positive
Ross	I’m so proud of you.	joy	positive
Rachel	Me too!	joy	positive
Ross	Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...	sadness	negative
Rachel	I know.	neutral	neutral
Ross	Yeah.	neutral	neutral
Rachel	Yeah.	neutral	neutral

Phoebe	Ameri-can.	neutral	neutral
Joey	Ameri-ccan.	neutral	neutral
Phoebe	Ameri-can. Y'know it’s a	neutral	neutral

Phoebe	Ameri-can. Y'know it’s a	neutral	neutral
Sergei	Everybody!!	surprise	positive

Chandler	Good job Joe! Well done! Top notch!	joy	positive
Joey	You liked it? You really liked it?	surprise	positive
Chandler	Oh-ho-ho, yeah!	joy	positive
Joey	Which part exactly?	neutral	neutral
Chandler	The whole thing! Can we go?	neutral	neutral
Joey	Oh no-no-no, give me some specifics.	anger	negative
Chandler	I love the specifics, the specifics were the best part!	joy	positive
Joey	Hey, what about the scene with the kangaroo? Did-did you like that part?	neutral	neutral
Chandler	I was surprised to see a kangaroo in a World War I epic.	surprise	negative
Joey	You fell asleep!!	anger	negative
Joey	There was no kangaroo!	anger	negative
Joey	They didn’t take any of my suggestions!	anger	negative
Joey	That’s for coming buddy.	neutral	neutral
Joey	I’ll see you later.	neutral	neutral
Chandler	Don’t go!	sadness	negative
Chandler	I’m sorry.	sadness	negative
Chandler	I’m so sorry!	sadness	negative
Chandler	Look!	surprise	negative
Chandler	This guy fell asleep!	anger	negative
Chandler	He fell asleep too!	anger	negative
Chandler	Be mad at him!	anger	negative
Chandler	Or, call an ambulance.	anger	negative

Joey	Okay, look, I think we have to tell Rachel she messed up her dessert.	neutral	neutral
Ross	What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!	anger	negative

Phoebe	Yes, and it is my dying wish to have that ring.	neutral	neutral
Phoebe	See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity	neutral	neutral
Chandler	Okay, that’s enough honey!	neutral	neutral

Chandler	Okay, that’s enough honey!	neutral	neutral
Customer	I don’t know.  Let me see the ring.	neutral	neutral
Chandler	Great! Okay, here.	joy	positive
Customer	All right.	neutral	neutral
Chandler	Thank you. Thank you. Thank you!  And	joy	positive

Chandler	What've you been up to?	neutral	neutral
Jade	Oh, you know, the usual, teaching aerobics, partying way too much.	neutral	neutral
Jade	Oh, and in case you were wondering, those are my legs on the new James Bond poster.	neutral	neutral
Chandler	Can you hold on a moment? I have another call.  I love her.	joy	positive
Chandler	I'm back.	neutral	neutral
Jade	So, are we gonna get together or what?	neutral	neutral
Chandler	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	neutral	neutral
Jade	Great, I'll see you then.	neutral	neutral
Chandler	Ok.  Ok. Having a phone has finally paid off.	joy	positive

Chandler	Can you hold on a moment? I have another call.  I love her.	joy	positive
Ross	I know.	neutral	neutral
Chandler	I'm back.	neutral	neutral
Chandler	Ok.  Ok. Having a phone has finally paid off.	joy	positive
Ross	Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, "Hey, you're not Bob."	neutral	neutral
Chandler	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	neutral	neutral
Ross	Oh my god. You are pure evil.	disgust	negative
Chandler	Ok, pure evil , horny and alone . I've done this	anger	negative

Phoebe	Nobody!	anger	negative
Phoebe	Nobody respects the bucket!	anger	negative
Phoebe	You wouldn't believe what people put in here!	anger	negative
Phoebe	Look!	anger	negative
Phoebe	Okay, does this look like a garbage can to you?	anger	negative
Monica	No.	neutral	neutral

Ross	This is my wedding.	neutral	neutral
Monica	All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!	anger	negative
Ross	Fine. You’ll-you’ll watch it on video when we get back.	neutral	neutral

Ross	Fine. You’ll-you’ll watch it on video when we get back.	neutral	neutral
Chandler	Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.	joy	positive

Chandler	Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.	joy	positive
Phoebe	Thank you.	neutral	neutral
Phoebe	Thank you.	neutral	neutral

Phoebe	Thank you.	neutral	neutral
Phoebe	Thank you.	neutral	neutral
Ross	All right, let’s go! Bye, Pheebs!	joy	positive

Ross	All right, let’s go! Bye, Pheebs!	joy	positive
Joey	Bye, Pheebs!	joy	positive
Joey	London baby!!	joy	positive

Phoebe	Thank you.	neutral	neutral
Phoebe	Thank you.	neutral	neutral
Joey	Bye, Pheebs!	joy	positive
Joey	London baby!!	joy	positive
Phoebe	Oh, do you need a hug? You don’t have to bring me anything!	joy	positive

Chandler	Hey!	neutral	neutral
Joey	Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.	joy	positive
Chandler	That’s great, but shouldn’t you be on the toilet right now?	disgust	negative
Joey	What?!	surprise	negative
Chandler	What’s wrong with you?	disgust	negative
Joey	Nothing!	neutral	neutral
Joey	Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.	fear	negative
Joey	But um, I don’t think it’s anything serious.	neutral	neutral
Chandler	This sounds like a hernia. You have to—you-you go to the doctor!	surprise	negative
Joey	No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!	fear	negative
Chandler	That’s a hernia.	disgust	negative
Joey	Why did I have to start working out again?  Damn you 15s!	anger	negative

Mona	I love your place! Where is this guy from?	joy	positive
Ross	Uh that’s an eighteenth century Indian artifact from Calcutta.	neutral	neutral
Mona	Oh wow! So, you’re more than just dinosaurs.	surprise	positive
Ross	So much more.	neutral	neutral

Ross	Well, well to sum up, we’re having fun, you look young.	neutral	neutral
Mona	Okay	neutral	neutral
Ross	But that’s not enough. So… So…here’s a key to my apartment.	neutral	neutral
Mona	Really?!	surprise	positive
Ross	Really.	neutral	neutral
Mona	You don’t think this is too fast.	neutral	neutral

Ross	Get Out!	anger	negative
Charlie	Ross, can I talk to you for a minute?	neutral	neutral
Ross	Yes, please!  So, what's going on?	neutral	neutral
Charlie	Uh, well... Joey and I broke up.	sadness	negative
Ross	Oh my God, wh-what happened?	surprise	negative
Charlie	Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!	sadness	negative
Ross	I knew that was him!	anger	negative
Charlie	Anyway I just, uh, I think it's for the best.	sadness	negative
Ross	Hey, you ok?	neutral	neutral
Charlie	I guess.	sadness	negative
Charlie	There was hum...  there was another reason that I thought it was time to end it with Joey.	neutral	neutral
Charlie	I started to realize that I was having feelings for someone  else.	neutral	neutral
Ross	Oh, professor Clerk we're kind of in the middle of a conversation, here.	neutral	neutral
Charlie	Yeah, can you guys just throw him in the pool later?	neutral	neutral
Ross	Ok, gentlemen!	anger	negative
Ross	Please!	anger	negative
Ross	Aren't we a little old for this?	anger	negative
Ross	I mean, we're scientists, right?	neutral	neutral
Ross	We're academics.	anger	negative
Ross	And most importantly I... you-you will have to catch us first.	joy	positive
Ross	GO, GO, GO!	joy	positive

Charlie	I guess.	sadness	negative
Charlie	There was hum...  there was another reason that I thought it was time to end it with Joey.	neutral	neutral
Charlie	I started to realize that I was having feelings for someone  else.	neutral	neutral
Paleontologist	Ok Geller. Last day of the conference, you know what happens to the keynote speaker.	neutral	neutral

Paleontologist	Ok Geller. Last day of the conference, you know what happens to the keynote speaker.	neutral	neutral
Ross	Oh, professor Clerk we're kind of in the middle of a conversation, here.	neutral	neutral
Ross	Ok, gentlemen!	anger	negative
Ross	Please!	anger	negative
Ross	Aren't we a little old for this?	anger	negative
Ross	I mean, we're scientists, right?	neutral	neutral
Ross	We're academics.	anger	negative
Ross	And most importantly I... you-you will have to catch us first.	joy	positive
Ross	GO, GO, GO!	joy	positive

Charlie	I guess.	sadness	negative
Charlie	There was hum...  there was another reason that I thought it was time to end it with Joey.	neutral	neutral
Charlie	I started to realize that I was having feelings for someone  else.	neutral	neutral
Charlie	Yeah, can you guys just throw him in the pool later?	neutral	neutral
Professore Clerk	Or we could throw you both in	joy	positive

Professore Clerk	Or we could throw you both in	joy	positive
Ross	Ok, gentlemen!	anger	negative
Ross	Please!	anger	negative
Ross	Aren't we a little old for this?	anger	negative
Ross	I mean, we're scientists, right?	neutral	neutral
Ross	We're academics.	anger	negative
Ross	And most importantly I... you-you will have to catch us first.	joy	positive
Ross	GO, GO, GO!	joy	positive

Ross	Go, go, go!	joy	positive
Rachel	Oh yeah, now everybody wants to be under this hat!	joy	positive

Rachel	Oh yeah, now everybody wants to be under this hat!	joy	positive
Phoebe	Oy!!	disgust	negative

Phoebe	Oy!!	disgust	negative
Monica	What’s with all this sand?	surprise	negative
Phoebe	Oh, yeah, Bob said there might be flood damage.	neutral	neutral

Phoebe	Oh, yeah, Bob said there might be flood damage.	neutral	neutral
Ross	Yeah, either that, or he has a really big cat.	neutral	neutral

Joey	Okay, see that blind guy right there? I'm gonna bash his head in later.	anger	negative
Joey	Oh umm, my big scene is coming up. Big scene coming up.	joy	positive
Chandler	If you said, "Big lima bean, bubbling up." Would she understand the difference?	neutral	neutral

Chandler	If you said, "Big lima bean, bubbling up." Would she understand the difference?	neutral	neutral
Monica	Rach? What are you doing?	neutral	neutral

Monica	Rach? What are you doing?	neutral	neutral
Rachel	Oh boy, I just can't watch. It's too scary!	fear	negative
Monica	It's a diaper commercial.	neutral	neutral
Rachel	Oh yeah well, you know me, babies, responsibilities, ahhh!!!	fear	negative

Rachel	Oh yeah well, you know me, babies, responsibilities, ahhh!!!	fear	negative
Caitlin	Pizza delivery!	joy	positive

Caitlin	Pizza delivery!	joy	positive
Ross	I'll get it! I will get that!	joy	positive
Caitlin	Hi!	joy	positive
Ross	Hi!	joy	positive

Ross	Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?	neutral	neutral
Joey	Uhh, the ball thing.	neutral	neutral
Ross	Yeah?	neutral	neutral
Joey	Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	joy	positive
Ross	Uhh,	neutral	neutral
Joey	Okay!	joy	positive
Joey	Uh-oh.	fear	negative
Ross	What?	neutral	neutral
Joey	I have to pee. And Rachel's in the bathroom!	sadness	negative
Joey	Man, I didn't think we were gonna make it!	surprise	positive
Ross	I know!  Don't switch hands, okay?	fear	negative

Joey	Hey.	neutral	neutral
Phoebe	Hey!	neutral	neutral

Rachel	How did it go with Erin?	neutral	neutral
Joey	Oh, unbelievable! We had the best time!	joy	positive
Joey	No!	joy	positive
Joey	No!	joy	positive
Joey	No!	joy	positive
Joey	You guys were totally right!	joy	positive
Joey	This is so much better than the first time we went out.	joy	positive
Joey	Y’know?	neutral	neutral
Joey	That was so awkward, we were really nervous.	neutral	neutral
Joey	Yeah, that really calms me down.	neutral	neutral
Joey	And!	joy	positive
Joey	We have so much in common!	joy	positive
Joey	She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a	joy	positive
Rachel	Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.	surprise	positive
Joey	Okay.	neutral	neutral

Joey	Oh, unbelievable! We had the best time!	joy	positive
Phoebe	Yay!! Oh so, you’re not, you’re not mad at us anymore?	joy	positive
Joey	No!	joy	positive
Joey	No!	joy	positive
Joey	No!	joy	positive
Joey	You guys were totally right!	joy	positive
Joey	This is so much better than the first time we went out.	joy	positive
Joey	Y’know?	neutral	neutral
Joey	That was so awkward, we were really nervous.	neutral	neutral
Phoebe	Didn’t you sleep together?	neutral	neutral
Joey	Yeah, that really calms me down.	neutral	neutral
Joey	And!	joy	positive
Joey	We have so much in common!	joy	positive
Joey	She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a	joy	positive

Monica	How does she do that?	surprise	negative
Ross	I cannot sleep in a public place.	neutral	neutral
Monica	Would you look at her? She is so peaceful.	joy	positive
Ross	It's okay, y'know, you just nodded off again.	neutral	neutral
Monica	What's going on with you?	surprise	positive

Monica	Would you look at her? She is so peaceful.	joy	positive
Phoebe	Oh! What what what! ...Hi.	surprise	positive
Monica	What's going on with you?	surprise	positive
Phoebe	I got no sleep last night!	anger	negative
Phoebe	My grandmother has this new boyfriend, and they're both kind of insecure in bed.	disgust	negative
Phoebe	Oh, and deaf.	neutral	neutral
Phoebe	So they're constantly, like, having to reassure each other that they're having a good time.	neutral	neutral
Phoebe	You have no idea how loud they are!	disgust	negative
Monica	Well, if you want, you can stay with Rachel and me tonight.	neutral	neutral
Phoebe	Thanks.	joy	positive

Phoebe	Oh! What what what! ...Hi.	surprise	positive
Ross	It's okay, y'know, you just nodded off again.	neutral	neutral
Phoebe	I got no sleep last night!	anger	negative
Ross	Why?	neutral	neutral
Phoebe	My grandmother has this new boyfriend, and they're both kind of insecure in bed.	disgust	negative
Phoebe	Oh, and deaf.	neutral	neutral
Phoebe	So they're constantly, like, having to reassure each other that they're having a good time.	neutral	neutral
Phoebe	You have no idea how loud they are!	disgust	negative

Joey	Ew! What is that? Something exploded!	disgust	negative
Nurse	It's just her water breaking. Calm down, will you?	neutral	neutral
Joey	Water breaking, what do you mean? What's that, water breaking?	surprise	negative
Nurse	Breathe, breathe, breathe.	neutral	neutral

Monica	Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.	surprise	negative
Chandler	Okay! You don’t think I thought of that?	anger	negative
Monica	No, no, no, that’s Dina.	neutral	neutral
Chandler	You see you can’t tell which one is which either, dwha!!	surprise	negative

Chandler	Okay! You don’t think I thought of that?	anger	negative
Phoebe	How can you not know which one?	surprise	negative

Phoebe	How can you not know which one?	surprise	negative
Rachel	I mean that’s unbelievable.	joy	positive

Rachel	I mean that’s unbelievable.	joy	positive
Monica	I mean, was it Gina?	neutral	neutral
Rachel	Dark, big hair, with the airplane earrings.	neutral	neutral
Monica	No, no, no, that’s Dina.	neutral	neutral

Monica	I mean, was it Gina?	neutral	neutral
Ross	Which one is Gina?	neutral	neutral

Ross	Which one is Gina?	neutral	neutral
Rachel	Dark, big hair, with the airplane earrings.	neutral	neutral

Rachel	I don’t know, you thought ‘See you Saturday’ was funny.	neutral	neutral
Rachel	Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.	neutral	neutral
Rachel	You guys would never want to go to a lecture with me.	neutral	neutral
Ross	Pa-haa!! I would love to go with you.	joy	positive
Rachel	Really!?	surprise	positive
Ross	Yeah, hey I-I have clothes, I even pick them out.	neutral	neutral
Ross	I mean for, for all you know I could be a fashion..... monger.	neutral	neutral
Rachel	Okay. Honey, I would love for you to go with me.  What?	joy	positive
Ross	What should I wear, now I’m all nervous.	fear	negative

Mr. Treeger	: I know, we did it!! Hey, that was incredible, huh?!	joy	positive
Joey	I know, it was amazing! I mean, we totally nailed it, it was beautiful.	joy	positive
Mr. Treeger	: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.	joy	positive
Joey	Oh well, okay, good luck.	joy	positive
Mr. Treeger	: Yeah.	neutral	neutral
Joey	Unless you wanna practice the Foxtrot again? Or-or the Tango?	neutral	neutral
Mr. Treeger	: Ahh, thanks but no. You see I-I think I’m ready to dance with girls.	neutral	neutral
Joey	Okay.	neutral	neutral
Mr. Treeger	: Yeah.	neutral	neutral
Joey	Go get ‘em Treeger.	neutral	neutral
Mr. Treeger	: Right.  Hey, ahh, you wanna come? Marge has a girlfriend.	neutral	neutral
Joey	Really?	surprise	positive
Mr. Treeger	: Yeah, you could dance real good with her, she’s the same size as me.	neutral	neutral
Joey	No, I’m good.	neutral	neutral

Ross	Oh God, this is so nerve wracking! How-how do you do this?	surprise	negative
Joey	Well, unfortunately, I don't get many callbacks so	neutral	neutral
Ross	Yes!! I knew it!!  Bye-bye! So long! Later!	joy	positive
Joey	Oh this is great! I might actually get to play Ben's dad!	joy	positive
Ross	Yeah!	joy	positive
Joey	Man, this is gonna be kinda weird.	sadness	negative
Ross	Yeah, it is.	neutral	neutral
Ross	No, we-we're gonna be like best friends, that's why it's gonna be weird.	neutral	neutral

Joey	Well, unfortunately, I don't get many callbacks so	neutral	neutral
Carol	Is it a good sign that they asked us to hang around after the audition?	surprise	positive
Joey	Who knows?	neutral	neutral

Joey	Who knows?	neutral	neutral
The Casting Director	Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.	neutral	neutral
The Casting Director	Actually, that can't happen.	neutral	neutral
The Casting Director	Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.	neutral	neutral
The Casting Director	So it'll be either you two  or you two.	neutral	neutral
Joey	Man, this is gonna be kinda weird.	sadness	negative

The Casting Director	Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.	neutral	neutral
Ross	Yes!! I knew it!!  Bye-bye! So long! Later!	joy	positive
Ross	Yeah!	joy	positive
The Casting Director	Actually, that can't happen.	neutral	neutral
The Casting Director	Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.	neutral	neutral
The Casting Director	So it'll be either you two  or you two.	neutral	neutral
Ross	Yeah, it is.	neutral	neutral
Ross	No, we-we're gonna be like best friends, that's why it's gonna be weird.	neutral	neutral

Monica	Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.	sadness	negative
Chandler	Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.	joy	positive

Ross	Please!	anger	negative
Ross	Are you kidding?	anger	negative
Ross	I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.	anger	negative
Ross	And it’s all because of you, wonderful, amazing you.	joy	positive
Emily	I think you’ve got concussion.	fear	negative
Ross	No, no, I’m serious. Thank you.	joy	positive
Emily	You’re welcome.  I’m sorry. Did I hurt you?	fear	negative
Ross	It’s worth the pain.  Y’know what, you know what? It’s not.	sadness	negative

Monica	Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.	surprise	positive
Chandler	I do! Want a hint? huh? "I do"  "I do".	joy	positive
Monica	Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	neutral	neutral
Chandler	David is going to propose to Phoebe.	joy	positive
Monica	What?  Why?	surprise	negative
Monica	Chandler, we have talked about this.	anger	negative
Monica	You are not supposed to give people advice!	anger	negative
Monica	Now couldn't you just have made some sort of inappropriate joke?	anger	negative
Chandler	I	neutral	neutral
Monica	They've only been going out for a few weeks and Phoebe is completely hung up on Mike!	anger	negative
Monica	She'll say "No", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone	anger	negative
Chandler	Man, that's some	surprise	positive

Chandler	Man, that's some	surprise	positive
Ross	Oh, that's not what you want...	neutral	neutral

Elizabeth	This is my father, Paul Stevens. Dad, this is Ross Geller.	neutral	neutral
Ross	It-it’s great to meet you Paul.	joy	positive
Ross	Okay.	neutral	neutral
Ross	I can, I can see that.	neutral	neutral
Ross	Umm, but I think if you give me umm, one chance I can, I can change your mind.	fear	negative

Ross	It-it’s great to meet you Paul.	joy	positive
Paul	I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.	neutral	neutral
Ross	Of course, of course, Mr. Stevens.	neutral	neutral
Paul	So Ross, what your problem?	anger	negative
Ross	Eh-wh—Excuse me?	surprise	positive
Paul	Why can’t you get a girlfriend your own age?	anger	negative
Ross	That’s funny. Umm….  It’s not funny.	fear	negative
Paul	I	neutral	neutral
Ross	Okay.	neutral	neutral
Ross	I can, I can see that.	neutral	neutral
Ross	Umm, but I think if you give me umm, one chance I can, I can change your mind.	fear	negative
Paul	Okay.	neutral	neutral
Ross	What?	neutral	neutral
Paul	Okay. I’ll give you one chance to change my mind.  You got one minute.	anger	negative

Paul	Okay. I’ll give you one chance to change my mind.  You got one minute.	anger	negative
Elizabeth	Daddy!	surprise	negative

Joey	Oh well, it’s not on TV yet.	neutral	neutral
The Dry Cleaner	Well, then it’s not on the wall yet.	neutral	neutral
Joey	Okay, fine, I will bring you a tape, huh?	neutral	neutral

Joey	Okay, fine, I will bring you a tape, huh?	neutral	neutral
Phoebe	So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?	neutral	neutral

Joey and Chandler	Ooooohh!	surprise	negative
Phoebe	Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.	neutral	neutral

Phoebe	Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.	neutral	neutral
Monica	Was it...?	surprise	negative
Phoebe	Oh, boy scouts could have camped under there.	neutral	neutral
Phoebe	Uma Thurman.	neutral	neutral
Monica	Oh!	surprise	positive

Phoebe	Oh, boy scouts could have camped under there.	neutral	neutral
Rachel	"Ooo," what?	surprise	positive
Phoebe	Uma Thurman.	neutral	neutral

Monica	Oh!	surprise	positive
Ross	The actress!	surprise	positive
Ross	Thanks Rach.	neutral	neutral
Ross	You have to tell her!	joy	positive
Ross	You have to tell her!	joy	positive
Ross	It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!	anger	negative
Ross	Guys?	anger	negative
Ross	Guys?	anger	negative

Ross	The actress!	surprise	positive
Ross	Thanks Rach.	neutral	neutral
Chandler	So what are you gonna do?	surprise	negative
Ross	You have to tell her!	joy	positive
Ross	You have to tell her!	joy	positive
Ross	It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!	anger	negative
Ross	Guys?	anger	negative
Ross	Guys?	anger	negative
Chandler	Oh, yeah, you have to tell her.	neutral	neutral

Chandler	Oh, yeah, you have to tell her.	neutral	neutral
Joey	Feminist issue. That's where I went!	neutral	neutral

Joey	Feminist issue. That's where I went!	neutral	neutral
Phoebe	She is gonna hate me.	fear	negative

Ross	The actress!	surprise	positive
Ross	Thanks Rach.	neutral	neutral
Ross	You have to tell her!	joy	positive
Ross	You have to tell her!	joy	positive
Ross	It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!	anger	negative
Ross	Guys?	anger	negative
Ross	Guys?	anger	negative
Phoebe	She is gonna hate me.	fear	negative
Ross	Yeah, well...	neutral	neutral

Chandler	Will you marry me?	fear	negative
Joey	It’s the big night! We wanted to wish you good luck!	joy	positive

Joey	It’s the big night! We wanted to wish you good luck!	joy	positive
Ross	Yeah, yeah you have the ring?	neutral	neutral

Ross	Yeah, yeah you have the ring?	neutral	neutral
Chandler	Yeah, right here in my pocket.  Pheebs?	neutral	neutral
Chandler	Okay, now will you guys get out of here? I want this is to be a surprise and she’s gonna know.	neutral	neutral
Ross	Yeah-yeah you guys. Get out of here!	neutral	neutral

Chandler	Yeah, right here in my pocket.  Pheebs?	neutral	neutral
Phoebe	Oh! Oop!	surprise	positive
Chandler	Okay, now will you guys get out of here? I want this is to be a surprise and she’s gonna know.	neutral	neutral

Ross	Yeah-yeah you guys. Get out of here!	neutral	neutral
Monica	Hi guys.	neutral	neutral

Monica	Hi guys.	neutral	neutral
Chandler	You are beautiful.	joy	positive
Monica	Oh, thank you!   What’s going on?	joy	positive

Monica	Oh, thank you!   What’s going on?	joy	positive
Rachel	We’re just really…very excited about this charity event that we have to go to.	neutral	neutral

Rachel	Okay umm, Ross?	neutral	neutral
Rachel	I'm-I'm really warm, so I'm going to be taking off my sweater.	neutral	neutral
Rachel	Now, I'm just letting you know that this is	neutral	neutral
Ross	Yep! That's hilarious!	joy	positive
Rachel	I'm sorry. I'm done. I'm done.	neutral	neutral
Ross	Y'know, last night was embarrassing for you too.	neutral	neutral
Rachel	No, not really. I mean you've seen me naked hundreds of times.	neutral	neutral
Ross	Uh-huh. But it was a first for the rest of my building.	neutral	neutral
Rachel	Okay. All right, that's true! But y'know I just don't embarrass that easily.	neutral	neutral
Ross	What?! You totally get embarrassed!	surprise	positive
Rachel	No, I don't! Ross, I think I'm just a more secure person than you are.	neutral	neutral
Ross	Is that so?	neutral	neutral
Rachel	Yeah.	neutral	neutral
Ross	Hey lady! I don't care how much you want it! Okay?! I am	disgust	negative

Phoebe	I can’t believe it!	surprise	positive
Phoebe	I did it!	joy	positive
Phoebe	I rode a bike!	joy	positive
Phoebe	I never thought I’d be able to do that!	joy	positive
Phoebe	Thank you Ross.	joy	positive
Ross	Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them.	joy	positive

Ross	Hey, both you guys should be up there with me.	neutral	neutral
Ross	I mean, you two are-are my… I mean, I’m lucky to have just one good	neutral	neutral
Chandler	Thanks man.	neutral	neutral
Chandler	What a baby.	sadness	negative
Ross	Total wuss!	sadness	negative

Chandler	Thanks man.	neutral	neutral
Joey	I gotta go check something over here.	neutral	neutral
